Location_ID,City,State,Area,Latitude,Longitude,Road_Type,Transport_Mode,Passenger_Count,Passenger_Demand,Vehicle_Count,Road_Occupancy_Percent,Traffic_Status,Traffic_Speed_kmh,Weather_Condition,Parking_Availability_Percent,Emission_Level_g_km,Average_Travel_Time_Min,Date
GEO-0162,Lucknow,Uttar Pradesh,South,26.762261,80.979863,Ring Road,Metro,82,71,193,85.16,Moderate,52,Rain,24.11,60.31,6,2026-02-05 14:00:00
GEO-0163,Bengaluru,Karnataka,Central,13.008777,77.6091,Highway,Metro,852,673,402,59.34,High,24,Clear,86.3,184.2,5,2026-04-05 10:00:00
GEO-0164,Bengaluru,Karnataka,South,12.947672,77.575257,Ring Road,E-Rickshaw,887,680,444,56.98,Low,8,Hazy,61.75,226.4,11,2026-01-17 14:00:00
GEO-0165,Hyderabad,Telangana,West,17.399412,78.516595,Main Road,Bus,871,917,96,85.74,Low,60,Clear,55.72,232.03,51,2026-06-08 18:00:00
GEO-0166,Kolkata,West Bengal,East,22.588591,88.358384,City Road,Auto,795,979,204,32.79,Severe,5,Hazy,34.21,49.46,34,2026-07-04 16:00:00
GEO-0167,Lucknow,Uttar Pradesh,South,26.885293,80.972731,City Road,Taxi,599,579,449,88.11,Moderate,43,Cloudy,87.76,237.72,58,2026-04-09 11:00:00
GEO-0168,Kochi,Kerala,South,9.891123,76.274506,Main Road,Auto,133,172,40,56.5,Moderate,37,Cloudy,77.34,100.18,7,2026-01-30 11:00:00
GEO-0169,Coimbatore,Tamil Nadu,South,11.010262,77.032824,Expressway,Metro,988,1113,312,44.9,Low,19,Clear,13.44,211.7,45,2026-02-15 21:00:00
GEO-0170,Mumbai,Maharashtra,South,18.999074,72.892446,Ring Road,Bus,248,333,391,94.1,Moderate,52,Clear,33.82,72.51,60,2026-06-17 00:00:00
GEO-0171,Bengaluru,Karnataka,West,12.946366,77.652039,Ring Road,Metro,349,468,197,49.21,Moderate,55,Cloudy,10.44,184.77,9,2026-07-05 14:00:00
GEO-0172,Kolkata,West Bengal,Central,22.581498,88.328035,City Road,Metro,88,103,324,49.45,Low,16,Hazy,42.55,216.27,17,2026-02-18 20:00:00
GEO-0173,Kochi,Kerala,South,9.905139,76.34221,Highway,E-Rickshaw,637,534,45,88.58,Moderate,32,Rain,61.04,192.87,17,2026-04-17 02:00:00
GEO-0174,Delhi,Delhi,West,28.666133,77.159798,Ring Road,Train,703,902,280,76.07,Moderate,35,Cloudy,63.27,111.24,53,2026-07-27 03:00:00
GEO-0175,Hyderabad,Telangana,North,17.392523,78.552305,Ring Road,Train,911,1014,451,60.68,Severe,6,Rain,86.94,46.63,53,2026-07-20 21:00:00
GEO-0176,Delhi,Delhi,East,28.658898,77.211184,Highway,Auto,745,772,488,75.51,High,30,Hazy,2.92,239.76,45,2026-04-07 10:00:00
GEO-0177,Hyderabad,Telangana,South,17.416897,78.523106,Expressway,Bus,323,484,365,74.98,Low,15,Rain,15.95,217.72,36,2026-07-23 10:00:00
GEO-0178,Indore,Madhya Pradesh,North,22.729592,75.802176,Main Road,E-Rickshaw,256,194,101,39.04,Moderate,45,Clear,70.81,207.98,35,2026-07-28 16:00:00
GEO-0179,Ahmedabad,Gujarat,Central,23.032581,72.554118,Highway,E-Rickshaw,246,247,385,98.4,High,32,Hazy,25.75,68.49,11,2026-05-08 06:00:00
GEO-0180,Indore,Madhya Pradesh,East,22.754887,75.856835,Highway,Metro,739,1041,292,66.53,High,16,Clear,14.84,161.4,14,2026-07-01 02:00:00
GEO-0181,Ahmedabad,Gujarat,North,22.992352,72.687348,City Road,Auto,415,365,177,39.54,Moderate,54,Clear,13.03,191.75,44,2026-07-21 21:00:00
GEO-0182,Surat,Gujarat,East,21.204575,72.841486,Highway,Metro,307,374,417,37.65,Moderate,39,Cloudy,41.85,125.56,9,2026-01-21 13:00:00
GEO-0183,Coimbatore,Tamil Nadu,North,11.044098,76.95042,Main Road,Bus,556,637,390,98.44,Low,53,Cloudy,25.59,47.68,53,2026-07-13 08:00:00
GEO-0184,Coimbatore,Tamil Nadu,North,10.975639,77.05718,Main Road,Bus,129,152,487,30.01,Moderate,35,Hazy,67.99,172.44,33,2026-07-20 07:00:00
GEO-0185,Indore,Madhya Pradesh,North,22.748507,75.83868,Highway,E-Rickshaw,894,786,106,96.79,High,33,Rain,58.46,124.26,46,2026-03-24 00:00:00
GEO-0186,Indore,Madhya Pradesh,South,22.752929,75.82337,Expressway,Train,435,453,176,86.47,High,22,Hazy,29.29,37.39,58,2026-07-15 03:00:00
GEO-0187,Hyderabad,Telangana,South,17.443995,78.496088,Ring Road,Auto,276,307,489,59.19,High,29,Cloudy,87.71,38.88,13,2026-06-29 05:00:00
GEO-0188,Visakhapatnam,Andhra Pradesh,East,17.640896,83.279398,Main Road,Metro,122,162,389,67.72,High,22,Clear,50.43,52.34,23,2026-05-15 03:00:00
GEO-0189,Pune,Maharashtra,South,18.565418,73.89411,Expressway,Train,416,390,351,87.11,Severe,16,Clear,74.11,24.83,46,2026-01-06 15:00:00
GEO-0190,Kochi,Kerala,West,9.900359,76.315275,Ring Road,Auto,162,211,382,86.64,Moderate,31,Clear,20.28,247.76,52,2026-04-17 06:00:00
GEO-0191,Surat,Gujarat,South,21.10383,72.86535,Highway,Metro,644,706,386,72.46,Severe,16,Hazy,14.86,197.0,15,2026-06-09 10:00:00
GEO-0192,Kolkata,West Bengal,West,22.581243,88.365935,Ring Road,Bus,232,252,170,78.28,High,15,Clear,41.27,46.68,41,2026-04-27 09:00:00
GEO-0193,Nagpur,Maharashtra,West,21.176171,79.092134,Ring Road,Auto,134,178,483,86.85,High,30,Hazy,94.85,203.97,35,2026-02-06 00:00:00
GEO-0194,Delhi,Delhi,South,28.675589,77.228762,Expressway,Metro,499,628,37,41.65,High,32,Hazy,97.07,197.89,29,2026-02-07 19:00:00
GEO-0195,Nagpur,Maharashtra,West,21.087067,79.107544,Highway,E-Rickshaw,714,998,328,52.53,High,31,Hazy,43.05,110.0,5,2026-08-06 20:00:00
GEO-0196,Chennai,Tamil Nadu,West,13.108978,80.208967,City Road,Metro,62,90,217,87.62,High,17,Hazy,66.9,230.14,41,2026-01-19 04:00:00
GEO-0197,Kolkata,West Bengal,West,22.626253,88.326135,Main Road,Bus,76,65,141,89.21,Moderate,55,Rain,64.07,169.27,58,2026-04-23 11:00:00
GEO-0198,Visakhapatnam,Andhra Pradesh,South,17.678306,83.243198,Expressway,Auto,345,269,227,73.06,High,25,Cloudy,96.76,217.73,24,2026-05-23 22:00:00
GEO-0199,Ahmedabad,Gujarat,South,23.044529,72.560265,Ring Road,Bus,158,198,369,49.01,Severe,7,Hazy,41.61,242.77,35,2026-07-31 05:00:00
GEO-0200,Kochi,Kerala,East,9.908721,76.256556,City Road,Taxi,304,229,412,68.43,High,16,Hazy,90.56,184.74,49,2026-07-27 02:00:00
GEO-0201,Surat,Gujarat,Central,21.116266,72.836599,Ring Road,Auto,121,158,339,76.82,Moderate,47,Clear,98.27,108.59,17,2026-06-11 15:00:00
GEO-0202,Hyderabad,Telangana,West,17.480568,78.430547,Main Road,Taxi,786,1043,495,82.36,Low,5,Hazy,51.94,195.52,38,2026-03-17 05:00:00
GEO-0203,Delhi,Delhi,North,28.556251,77.282063,Highway,Taxi,468,455,316,33.69,High,15,Rain,59.3,244.71,20,2026-05-24 02:00:00
GEO-0204,Mumbai,Maharashtra,West,19.026927,72.865409,Expressway,E-Rickshaw,235,207,286,42.27,High,19,Rain,33.57,111.16,53,2026-01-19 12:00:00
GEO-0205,Chennai,Tamil Nadu,West,13.018332,80.295055,Main Road,Metro,493,430,342,41.38,Severe,18,Hazy,69.86,212.79,29,2026-03-31 01:00:00
GEO-0206,Kolkata,West Bengal,East,22.618154,88.291049,Main Road,Train,807,1082,138,69.05,Severe,11,Rain,73.78,228.33,51,2026-06-10 00:00:00
GEO-0207,Surat,Gujarat,Central,21.097492,72.945121,Ring Road,Bus,368,504,247,72.22,Moderate,32,Cloudy,88.35,225.91,35,2026-04-14 08:00:00
GEO-0208,Kochi,Kerala,North,9.94612,76.241315,Main Road,Auto,988,1103,485,32.02,Moderate,41,Cloudy,23.19,211.7,53,2026-02-04 09:00:00
GEO-0209,Kolkata,West Bengal,South,22.538907,88.334268,City Road,Bus,684,716,219,53.32,High,29,Clear,12.56,108.14,42,2026-04-10 04:00:00
GEO-0210,Nagpur,Maharashtra,West,21.176144,79.053461,Highway,Auto,397,328,132,27.3,High,31,Clear,0.17,211.91,13,2026-01-28 12:00:00
GEO-0211,Coimbatore,Tamil Nadu,South,10.992191,77.048595,Highway,Auto,361,283,322,56.92,Moderate,48,Clear,69.21,216.4,22,2026-02-06 19:00:00
GEO-0212,Mumbai,Maharashtra,Central,19.001511,72.961005,Main Road,Taxi,753,812,235,27.35,High,32,Hazy,52.4,59.21,15,2026-06-28 05:00:00
GEO-0213,Ahmedabad,Gujarat,East,23.072115,72.545921,Main Road,Auto,800,1018,475,15.26,Moderate,50,Rain,56.08,241.71,20,2026-02-08 20:00:00
GEO-0214,Kochi,Kerala,Central,9.903281,76.391067,Expressway,Auto,196,208,122,25.57,Moderate,37,Rain,73.21,174.99,15,2026-01-17 22:00:00
GEO-0215,Visakhapatnam,Andhra Pradesh,Central,17.693831,83.239694,Ring Road,Metro,637,889,36,66.04,Moderate,40,Rain,96.16,50.97,42,2026-05-17 05:00:00
GEO-0216,Nagpur,Maharashtra,North,21.172418,79.181629,Main Road,Bus,868,992,232,72.44,Moderate,37,Rain,98.05,213.04,5,2026-05-06 00:00:00
GEO-0217,Delhi,Delhi,West,28.627798,77.250806,Expressway,Auto,189,179,165,93.97,High,34,Clear,3.31,230.79,26,2026-02-23 03:00:00
GEO-0218,Lucknow,Uttar Pradesh,Central,26.811761,80.961371,Expressway,Taxi,161,221,254,81.33,High,34,Rain,66.84,84.27,13,2026-06-08 14:00:00
GEO-0219,Mumbai,Maharashtra,East,19.084965,72.875078,Ring Road,Taxi,582,862,406,58.71,Moderate,53,Cloudy,65.14,159.91,50,2026-02-22 22:00:00
GEO-0220,Pune,Maharashtra,East,18.553359,73.783427,Highway,Metro,174,169,397,94.86,Moderate,55,Rain,17.52,79.69,43,2026-01-19 17:00:00
GEO-0221,Bengaluru,Karnataka,West,12.957627,77.642371,City Road,Taxi,267,272,328,74.29,Moderate,35,Cloudy,28.85,225.37,57,2026-07-28 08:00:00
GEO-0222,Visakhapatnam,Andhra Pradesh,Central,17.664255,83.242588,Highway,Train,208,193,96,71.6,High,15,Hazy,37.8,218.68,9,2026-04-01 21:00:00
GEO-0223,Hyderabad,Telangana,North,17.390716,78.508215,Expressway,E-Rickshaw,866,929,161,90.15,Moderate,47,Clear,45.79,25.06,7,2026-01-15 06:00:00
GEO-0224,Bengaluru,Karnataka,North,12.990012,77.656744,Main Road,E-Rickshaw,279,346,137,36.35,High,34,Hazy,59.9,239.09,14,2026-05-31 21:00:00
GEO-0225,Kochi,Kerala,Central,10.006697,76.279202,Expressway,Train,693,796,181,50.27,Moderate,31,Hazy,28.4,241.52,31,2026-05-04 12:00:00
GEO-0226,Nagpur,Maharashtra,West,21.087812,79.065558,Ring Road,Train,805,1137,341,49.68,Moderate,51,Hazy,36.1,226.33,11,2026-05-29 07:00:00
GEO-0227,Surat,Gujarat,West,21.168029,72.873106,City Road,E-Rickshaw,936,1051,209,95.43,High,18,Rain,53.0,140.87,14,2026-03-17 14:00:00
GEO-0228,Delhi,Delhi,Central,28.683577,77.189333,Highway,Bus,184,273,450,86.06,Moderate,42,Clear,28.96,169.41,57,2026-06-19 23:00:00
GEO-0229,Surat,Gujarat,Central,21.178456,72.875511,Main Road,Auto,346,446,358,36.8,Moderate,41,Clear,3.95,75.64,18,2026-05-01 12:00:00
GEO-0230,Lucknow,Uttar Pradesh,East,26.928521,80.95412,City Road,Metro,911,1302,357,22.7,High,28,Clear,41.32,111.65,25,2026-01-18 19:00:00
GEO-0231,Coimbatore,Tamil Nadu,Central,10.906805,76.902117,Ring Road,Taxi,578,588,260,77.77,Severe,10,Rain,37.52,180.68,26,2026-07-31 14:00:00
GEO-0232,Kolkata,West Bengal,Central,22.496059,88.406093,Ring Road,Bus,503,459,406,38.83,Moderate,44,Cloudy,73.36,230.63,51,2026-06-29 13:00:00
GEO-0233,Lucknow,Uttar Pradesh,West,26.861915,80.989524,City Road,Bus,180,260,57,82.89,Moderate,52,Rain,63.61,27.64,36,2026-04-28 21:00:00
GEO-0234,Kochi,Kerala,East,9.920043,76.329539,Main Road,Taxi,243,216,120,27.73,Moderate,52,Rain,84.72,98.21,8,2026-05-07 08:00:00
GEO-0235,Kochi,Kerala,Central,9.972429,76.280217,Ring Road,Auto,710,913,464,83.64,Moderate,46,Hazy,68.54,240.14,48,2026-03-20 01:00:00
GEO-0236,Hyderabad,Telangana,North,17.450788,78.503307,Highway,Metro,92,94,241,48.64,High,33,Cloudy,9.24,154.69,25,2026-01-19 11:00:00
GEO-0237,Ahmedabad,Gujarat,South,23.058343,72.580631,Expressway,Auto,785,1158,379,61.24,High,28,Cloudy,23.38,136.35,35,2026-04-19 21:00:00
GEO-0238,Coimbatore,Tamil Nadu,West,11.009184,76.930897,Main Road,Taxi,542,543,252,90.24,High,22,Clear,37.27,208.77,32,2026-05-10 17:00:00
GEO-0239,Surat,Gujarat,North,21.166623,72.865554,Main Road,Train,105,147,263,20.3,High,19,Clear,85.3,229.46,40,2026-01-29 12:00:00
GEO-0240,Delhi,Delhi,Central,28.606564,77.218591,Main Road,Bus,823,914,299,67.65,Low,36,Clear,91.02,215.33,51,2026-06-08 17:00:00
GEO-0241,Delhi,Delhi,South,28.605364,77.198603,Main Road,Bus,721,953,332,36.11,High,19,Clear,84.59,220.53,54,2026-05-12 09:00:00
GEO-0242,Kochi,Kerala,Central,9.959446,76.349741,City Road,E-Rickshaw,237,212,447,90.83,High,29,Cloudy,59.24,61.7,6,2026-01-16 22:00:00
GEO-0243,Ahmedabad,Gujarat,East,23.039976,72.615861,Highway,E-Rickshaw,351,390,128,41.03,High,29,Clear,64.39,196.34,28,2026-02-15 04:00:00
GEO-0244,Hyderabad,Telangana,East,17.418584,78.402125,Highway,Metro,136,136,151,33.05,High,32,Cloudy,68.43,116.6,37,2026-04-28 15:00:00
GEO-0245,Mumbai,Maharashtra,North,19.063515,72.890241,Main Road,Train,556,742,182,16.67,High,20,Hazy,51.13,152.43,49,2026-01-24 13:00:00
GEO-0246,Delhi,Delhi,Central,28.603062,77.163017,Expressway,Bus,622,844,124,38.67,High,32,Cloudy,79.1,97.51,29,2026-03-30 19:00:00
GEO-0247,Ahmedabad,Gujarat,South,22.966916,72.615694,Expressway,Taxi,311,372,391,90.66,Moderate,53,Cloudy,14.43,92.38,40,2026-03-10 03:00:00
GEO-0248,Kolkata,West Bengal,North,22.612067,88.371734,Ring Road,E-Rickshaw,966,1341,215,61.61,High,33,Rain,7.61,44.09,42,2026-03-21 19:00:00
GEO-0249,Bengaluru,Karnataka,West,12.96119,77.586603,Highway,Metro,372,332,259,46.74,Severe,11,Rain,7.46,110.31,21,2026-05-09 06:00:00
GEO-0250,Pune,Maharashtra,North,18.514033,73.833566,Expressway,Auto,144,123,351,61.48,High,18,Rain,99.51,195.35,43,2026-04-11 10:00:00
GEO-0251,Ahmedabad,Gujarat,Central,23.051497,72.545963,Highway,Metro,209,252,159,92.97,High,20,Rain,51.53,210.95,24,2026-05-18 05:00:00
GEO-0252,Surat,Gujarat,West,21.182003,72.788573,Ring Road,Metro,798,867,202,73.21,Low,31,Cloudy,92.7,196.01,50,2026-02-05 02:00:00
GEO-0253,Nagpur,Maharashtra,East,21.16818,79.1033,Ring Road,Auto,487,593,487,73.01,Moderate,39,Clear,44.87,162.15,52,2026-05-12 16:00:00
GEO-0254,Kolkata,West Bengal,West,22.562235,88.368883,Highway,Train,91,84,436,75.76,Moderate,36,Rain,48.82,50.61,52,2026-06-16 18:00:00
GEO-0255,Coimbatore,Tamil Nadu,Central,11.027554,76.954071,Expressway,Taxi,846,1052,468,41.02,Moderate,31,Cloudy,57.91,213.71,20,2026-07-17 07:00:00
GEO-0256,Pune,Maharashtra,Central,18.591668,73.799953,City Road,Taxi,767,619,317,19.01,Severe,18,Cloudy,27.42,151.81,6,2026-04-04 05:00:00
GEO-0257,Kochi,Kerala,Central,10.011597,76.247938,Expressway,Taxi,957,1045,175,42.57,Severe,18,Rain,49.2,84.48,49,2026-05-11 19:00:00
GEO-0258,Bengaluru,Karnataka,West,13.034334,77.584095,Expressway,Train,467,490,422,91.97,High,23,Clear,81.25,76.81,16,2026-04-18 09:00:00
GEO-0259,Kochi,Kerala,East,9.926913,76.287113,City Road,E-Rickshaw,661,653,180,45.56,High,27,Cloudy,42.42,123.3,18,2026-07-10 01:00:00
GEO-0260,Kochi,Kerala,East,9.965215,76.303574,Expressway,Bus,993,1481,194,45.23,High,29,Hazy,91.23,39.45,14,2026-03-02 16:00:00
GEO-0261,Lucknow,Uttar Pradesh,West,26.822336,80.982093,Ring Road,Bus,466,441,470,39.46,Low,61,Hazy,67.0,249.64,54,2026-05-25 20:00:00
GEO-0262,Delhi,Delhi,East,28.568162,77.169654,Ring Road,Taxi,407,394,300,41.89,Severe,11,Hazy,95.32,117.69,60,2026-07-02 15:00:00
GEO-0263,Chennai,Tamil Nadu,Central,13.181738,80.316233,Main Road,Taxi,619,511,453,61.85,High,20,Rain,14.5,90.52,8,2026-01-03 21:00:00
GEO-0264,Bengaluru,Karnataka,Central,13.063185,77.631287,Ring Road,Bus,673,747,56,40.84,Low,42,Rain,61.24,44.36,44,2026-07-17 11:00:00
GEO-0265,Mumbai,Maharashtra,North,19.110936,72.876137,Highway,Train,680,856,480,95.44,Moderate,41,Clear,38.08,204.9,13,2026-06-25 18:00:00
GEO-0266,Jaipur,Rajasthan,North,26.804706,75.812265,Expressway,E-Rickshaw,709,881,15,16.41,Low,25,Clear,12.73,187.36,19,2026-06-01 06:00:00
GEO-0267,Surat,Gujarat,East,21.237159,72.858947,Main Road,E-Rickshaw,758,1098,107,84.65,High,34,Hazy,84.15,227.55,42,2026-03-13 12:00:00
GEO-0268,Pune,Maharashtra,South,18.508612,73.899285,Ring Road,Auto,775,599,91,22.02,High,22,Hazy,57.82,249.64,19,2026-02-03 13:00:00
GEO-0269,Surat,Gujarat,South,21.172216,72.835997,Highway,Taxi,925,1371,68,48.86,Moderate,42,Hazy,43.32,44.96,47,2026-03-13 18:00:00
GEO-0270,Indore,Madhya Pradesh,Central,22.742727,75.73072,City Road,Train,208,170,369,95.03,High,22,Clear,35.25,27.82,17,2026-07-05 19:00:00
GEO-0271,Pune,Maharashtra,East,18.61062,73.846446,City Road,Bus,969,1063,409,30.06,High,17,Hazy,90.79,219.93,56,2026-08-02 03:00:00
GEO-0272,Kochi,Kerala,North,9.927448,76.210646,Main Road,E-Rickshaw,793,723,179,36.13,Moderate,40,Rain,42.75,53.65,43,2026-07-20 13:00:00
GEO-0273,Jaipur,Rajasthan,East,26.880715,75.701713,Highway,Auto,477,509,238,58.31,High,21,Cloudy,97.42,231.47,17,2026-01-10 00:00:00
GEO-0274,Bengaluru,Karnataka,East,12.940535,77.609257,Ring Road,Auto,910,989,484,35.58,High,24,Clear,31.32,115.93,29,2026-03-26 04:00:00
GEO-0275,Jaipur,Rajasthan,East,26.938483,75.835677,Ring Road,Train,163,231,265,47.53,High,31,Rain,82.66,215.22,17,2026-01-27 23:00:00
GEO-0276,Coimbatore,Tamil Nadu,South,11.087939,77.006054,Highway,Metro,398,309,392,67.27,High,27,Cloudy,20.8,21.38,16,2026-05-27 10:00:00
GEO-0277,Delhi,Delhi,East,28.645566,77.155735,Main Road,Bus,828,1126,205,41.7,Low,49,Hazy,75.48,46.75,47,2026-05-23 21:00:00
GEO-0278,Surat,Gujarat,East,21.254903,72.8139,Main Road,Taxi,657,610,127,83.74,High,17,Cloudy,88.0,58.88,20,2026-01-01 20:00:00
GEO-0279,Mumbai,Maharashtra,South,19.075306,72.913755,Highway,Taxi,507,566,218,61.06,Moderate,41,Cloudy,23.62,95.19,17,2026-04-26 01:00:00
GEO-0280,Visakhapatnam,Andhra Pradesh,Central,17.731567,83.207373,City Road,Bus,118,169,403,93.05,Low,54,Rain,73.1,230.07,26,2026-01-21 00:00:00
GEO-0281,Nagpur,Maharashtra,East,21.109925,79.116565,City Road,Metro,786,609,36,52.94,High,35,Rain,67.48,162.87,60,2026-04-15 12:00:00
GEO-0282,Indore,Madhya Pradesh,West,22.721992,75.846964,Expressway,Taxi,117,170,122,27.97,High,34,Clear,74.53,242.09,52,2026-04-25 23:00:00
GEO-0283,Ahmedabad,Gujarat,South,23.0569,72.623042,Highway,Taxi,785,729,163,47.02,High,35,Clear,2.63,246.94,14,2026-05-09 06:00:00
GEO-0284,Jaipur,Rajasthan,West,26.885114,75.760203,City Road,Bus,805,807,449,81.73,High,35,Cloudy,60.09,43.54,37,2026-04-27 11:00:00
GEO-0285,Coimbatore,Tamil Nadu,Central,11.04657,76.978529,Ring Road,Bus,322,331,248,20.77,Moderate,33,Clear,49.66,73.27,37,2026-02-28 22:00:00
GEO-0286,Lucknow,Uttar Pradesh,East,26.857209,80.875916,Ring Road,Train,586,461,382,49.62,High,27,Rain,12.42,34.01,22,2026-01-08 15:00:00
GEO-0287,Delhi,Delhi,East,28.614901,77.179051,Main Road,Metro,427,345,374,57.92,High,24,Rain,74.43,176.34,37,2026-06-27 05:00:00
GEO-0288,Kolkata,West Bengal,North,22.534567,88.321712,Expressway,Train,201,215,389,92.29,Moderate,38,Rain,31.8,245.23,58,2026-06-05 21:00:00
GEO-0289,Lucknow,Uttar Pradesh,Central,26.874325,80.985382,City Road,Taxi,730,978,399,98.37,High,21,Hazy,55.97,197.89,5,2026-04-02 16:00:00
GEO-0290,Ahmedabad,Gujarat,South,23.022627,72.576493,Ring Road,Metro,346,321,410,57.52,Moderate,50,Rain,55.78,46.91,17,2026-04-28 12:00:00
GEO-0291,Lucknow,Uttar Pradesh,South,26.847834,80.941023,Expressway,Taxi,448,656,152,42.12,Low,16,Rain,33.52,152.79,22,2026-03-10 03:00:00
GEO-0292,Mumbai,Maharashtra,East,19.098137,72.924166,Ring Road,Taxi,176,241,80,80.16,Moderate,41,Cloudy,77.06,167.56,54,2026-02-02 07:00:00
GEO-0293,Kochi,Kerala,South,9.946639,76.238879,Highway,Auto,970,1277,224,17.22,High,18,Clear,21.39,102.3,49,2026-07-23 21:00:00
GEO-0294,Pune,Maharashtra,West,18.575746,73.816806,Expressway,Bus,157,221,339,51.77,Severe,16,Rain,95.23,205.12,51,2026-01-27 13:00:00
GEO-0295,Jaipur,Rajasthan,West,26.787264,75.753483,Highway,Auto,667,840,449,40.57,Low,38,Hazy,55.48,68.79,52,2026-01-14 10:00:00
GEO-0296,Surat,Gujarat,East,21.086602,72.783699,Main Road,Auto,53,70,391,88.37,Moderate,32,Rain,64.26,53.89,41,2026-04-15 12:00:00
GEO-0297,Jaipur,Rajasthan,Central,26.867344,75.754572,Ring Road,Metro,436,595,133,60.51,High,31,Clear,85.29,116.31,43,2026-03-23 13:00:00
GEO-0298,Hyderabad,Telangana,North,17.389577,78.456089,Ring Road,E-Rickshaw,451,386,452,36.6,High,16,Rain,75.61,218.03,46,2026-04-12 06:00:00
GEO-0299,Coimbatore,Tamil Nadu,Central,11.017114,76.97143,City Road,Bus,890,1133,67,51.23,Moderate,35,Cloudy,26.31,117.66,38,2026-05-16 18:00:00
GEO-0300,Mumbai,Maharashtra,Central,19.106903,72.887395,Highway,Auto,488,640,484,17.5,Moderate,39,Rain,10.59,45.78,46,2026-02-18 19:00:00
GEO-0301,Hyderabad,Telangana,Central,17.29649,78.430579,Expressway,Metro,656,653,198,56.88,Moderate,34,Cloudy,79.09,77.47,58,2026-03-31 02:00:00
GEO-0302,Visakhapatnam,Andhra Pradesh,Central,17.654089,83.231287,Expressway,Taxi,338,325,320,98.11,High,16,Rain,54.93,93.71,52,2026-03-28 04:00:00
GEO-0303,Pune,Maharashtra,South,18.490776,73.792683,City Road,E-Rickshaw,835,1043,309,93.82,High,31,Hazy,78.65,234.51,24,2026-04-04 18:00:00
GEO-0304,Nagpur,Maharashtra,South,21.194146,79.045378,Expressway,E-Rickshaw,784,1088,430,20.23,Moderate,38,Hazy,16.04,171.01,28,2026-04-05 10:00:00
GEO-0305,Jaipur,Rajasthan,North,26.888458,75.788547,Expressway,Bus,92,132,345,20.61,Moderate,42,Clear,10.23,189.49,42,2026-06-05 15:00:00
GEO-0306,Hyderabad,Telangana,South,17.422249,78.452345,Ring Road,Train,70,87,79,53.1,Severe,16,Cloudy,10.55,145.55,36,2026-06-03 01:00:00
GEO-0307,Jaipur,Rajasthan,North,26.982425,75.821239,Highway,E-Rickshaw,350,367,64,62.86,High,32,Rain,48.43,59.36,22,2026-03-10 16:00:00
GEO-0308,Hyderabad,Telangana,West,17.462461,78.431432,Ring Road,Bus,678,684,449,81.0,High,20,Rain,58.18,101.93,46,2026-07-16 23:00:00
GEO-0309,Indore,Madhya Pradesh,South,22.691072,75.807379,Ring Road,Auto,929,705,417,19.95,Severe,18,Hazy,85.04,20.04,32,2026-01-11 05:00:00
GEO-0310,Nagpur,Maharashtra,South,21.196143,79.09163,Ring Road,Bus,237,212,210,31.98,Low,40,Clear,2.43,21.01,15,2026-07-08 13:00:00
GEO-0311,Nagpur,Maharashtra,North,21.139676,79.100546,Main Road,E-Rickshaw,533,606,478,29.82,Moderate,35,Hazy,85.73,127.58,41,2026-07-06 14:00:00
GEO-0312,Ahmedabad,Gujarat,West,22.998383,72.596036,Main Road,Metro,953,958,60,98.47,Moderate,41,Hazy,92.84,232.65,11,2026-03-21 00:00:00
GEO-0313,Ahmedabad,Gujarat,North,23.113311,72.582118,Expressway,Train,311,432,454,89.98,High,16,Cloudy,24.14,27.75,31,2026-07-23 13:00:00
GEO-0314,Mumbai,Maharashtra,North,19.099631,72.841399,Highway,Auto,198,150,489,28.35,High,34,Rain,61.18,163.37,18,2026-05-01 10:00:00
GEO-0315,Surat,Gujarat,East,21.162593,72.83954,Expressway,E-Rickshaw,182,136,408,49.76,High,16,Hazy,82.63,188.77,58,2026-05-05 07:00:00
GEO-0316,Hyderabad,Telangana,Central,17.283226,78.490738,City Road,Taxi,140,148,244,85.71,Severe,6,Clear,19.7,139.78,18,2026-06-25 10:00:00
GEO-0317,Jaipur,Rajasthan,West,26.904704,75.739988,Main Road,Train,880,672,21,44.75,High,30,Rain,90.26,94.26,10,2026-02-11 00:00:00
GEO-0318,Lucknow,Uttar Pradesh,East,26.761698,80.909035,Ring Road,E-Rickshaw,850,754,286,46.7,Low,41,Cloudy,84.28,80.19,29,2026-05-29 15:00:00
GEO-0319,Lucknow,Uttar Pradesh,North,26.869219,80.905437,Main Road,Metro,986,946,56,61.94,Moderate,38,Cloudy,51.92,78.9,30,2026-04-17 07:00:00
GEO-0320,Kolkata,West Bengal,Central,22.573043,88.33309,Expressway,Metro,678,964,38,49.83,High,31,Cloudy,33.39,213.69,33,2026-06-13 12:00:00
GEO-0321,Coimbatore,Tamil Nadu,Central,10.945683,76.922258,Highway,E-Rickshaw,894,776,109,19.6,Low,5,Cloudy,22.4,167.53,13,2026-06-12 05:00:00
GEO-0322,Indore,Madhya Pradesh,West,22.725076,75.921409,Main Road,E-Rickshaw,474,470,154,58.0,Severe,12,Clear,30.48,48.68,25,2026-04-08 13:00:00
GEO-0323,Mumbai,Maharashtra,North,19.14426,72.868582,Expressway,Train,318,420,108,50.11,Severe,14,Clear,74.83,177.46,29,2026-01-27 10:00:00
GEO-0324,Bengaluru,Karnataka,West,12.95514,77.656855,City Road,Auto,360,281,346,23.01,High,24,Clear,76.44,117.62,49,2026-04-20 02:00:00
